n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
371,0.00216,-,0.03947,0.03886,0.03579,0.03743
372,0.00209,-,0.03541,0.03752,0.03883,0.03621
373,0.00213,-,0.03909,0.03959,0.03979,0.03982
374,0.00212,-,0.03574,0.03756,0.03751,0.03631
375,0.00215,-,0.03909,0.03863,0.03752,0.03752
376,0.00208,-,0.03914,0.03752,0.03754,0.03709
377,0.00215,-,0.03907,0.03882,0.03883,0.03608
378,0.00211,-,0.03537,0.03911,0.03979,0.03761
379,0.00208,-,0.03916,0.03844,0.03644,0.03603
380,0.00213,-,0.03585,0.03955,0.03970,0.03781
381,0.00208,-,0.03890,0.03906,0.03605,0.03875
382,0.00208,-,0.03666,0.03883,0.03884,0.03626
383,0.00208,-,0.03913,0.03757,0.03873,0.03617
384,0.00217,-,0.03903,0.03760,0.03751,0.03612
385,0.00211,-,0.03573,0.03883,0.03960,0.03981
386,0.00261,-,0.03931,0.03754,0.03753,0.03780
387,0.00219,-,0.03907,0.03752,0.03710,0.03620
388,0.00212,-,0.03948,0.03960,0.03883,0.03622
389,0.00210,-,0.03949,0.03958,0.03630,0.03748
390,0.00213,-,0.03637,0.03960,0.03858,0.03752
391,0.00213,-,0.03910,0.03880,0.03974,0.03976
392,0.00209,-,0.03942,0.03954,0.03970,0.03958
393,0.00208,-,0.03944,0.03956,0.03966,0.03966
394,0.00207,-,0.03945,0.03956,0.03759,0.03728
395,0.00218,-,0.03949,0.03830,0.03621,0.03876
396,0.00210,-,0.03546,0.03489,0.03908,0.04091
397,0.00244,-,0.03788,0.03654,0.03974,0.03760
398,0.00210,-,0.03821,0.03959,0.03888,0.03875
399,0.00214,-,0.03908,0.03756,0.03753,0.03749
400,0.00215,-,0.03532,0.03755,0.03753,0.03757
401,0.00214,-,0.03907,0.03870,0.03626,0.03752
402,0.00225,-,0.03952,0.03947,0.03875,0.03609
403,0.00218,-,0.03902,0.03760,0.03714,0.03752
404,0.00213,-,0.03907,0.03784,0.03753,0.03748
405,0.00216,-,0.03949,0.03842,0.03750,0.03753
406,0.00216,-,0.03903,0.03875,0.03723,0.03880
407,0.00232,-,0.03951,0.03678,0.03752,0.03692
408,0.00253,-,0.03952,0.03958,0.03972,0.03954
409,0.00218,-,0.03909,0.03745,0.03767,0.03736
410,0.00213,-,0.03906,0.03958,0.03631,0.03750
411,0.00210,-,0.03536,0.03755,0.03756,0.03712
412,0.00214,-,0.03945,0.03957,0.03630,0.03753
